CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,1,77183.6,1,1,3,113,Lost Customer
12347.0,2,7,4310.0,3,3,3,333,VIP Customer
12348.0,75,4,1797.24,2,2,3,223,Promising Customer
12349.0,18,1,1757.55,3,1,3,313,New Customer
12350.0,311,1,334.4,1,1,1,111,At Risk
12352.0,36,8,2042.24,2,3,3,233,Potential Loyallist
12353.0,204,1,89.0,1,1,1,111,At Risk
12354.0,232,1,1079.4,1,1,2,112,Lost Customer
12355.0,214,1,459.4,1,1,2,112,Lost Customer
12356.0,22,3,2811.43,3,2,3,323,Loyal Customer
12357.0,33,1,6207.67,2,1,3,213,Promising Customer
12358.0,1,2,1168.06,3,2,2,322,Loyal Customer
12359.0,57,4,6310.03,2,2,3,223,Promising Customer
12360.0,52,3,2662.06,2,2,3,223,Promising Customer
12361.0,288,1,189.9,1,1,1,111,At Risk
12362.0,3,10,5226.23,3,3,3,333,VIP Customer
12363.0,109,2,552.0,1,2,2,122,Lost Customer
12364.0,7,4,1313.1,3,2,3,323,Loyal Customer
12365.0,292,2,641.38,1,2,2,122,Lost Customer
12367.0,4,1,168.9,3,1,1,311,New Customer
12370.0,51,4,3541.94,2,2,3,223,Promising Customer
12371.0,44,2,1887.96,2,2,3,223,Promising Customer
12372.0,71,3,1298.04,2,2,3,223,Promising Customer
12373.0,312,1,364.6,1,1,1,111,At Risk
12374.0,25,1,742.9300000000001,3,1,2,312,New Customer
12375.0,10,2,457.5,3,2,2,322,Loyal Customer
12377.0,316,2,1628.12,1,2,3,123,Lost Customer
12378.0,129,1,4008.62,1,1,3,113,Lost Customer
12379.0,81,2,852.24,2,2,2,222,Promising Customer
12380.0,21,4,2724.81,3,2,3,323,Loyal Customer
12381.0,4,5,1845.31,3,3,3,333,VIP Customer
12383.0,184,5,1850.56,1,3,3,133,Lost Customer
12384.0,28,2,585.27,2,2,2,222,Promising Customer
12386.0,338,2,401.9,1,2,2,122,Lost Customer
12388.0,15,6,2780.66,3,3,3,333,VIP Customer
12390.0,79,1,549.84,2,1,2,212,Promising Customer
12391.0,21,1,439.66,3,1,2,312,New Customer
12393.0,72,4,1582.6000000000001,2,2,3,223,Promising Customer
12394.0,63,2,1272.48,2,2,3,223,Promising Customer
12395.0,19,12,3018.63,3,3,3,333,VIP Customer
12397.0,35,2,2409.9,2,2,3,223,Promising Customer
12398.0,45,1,1635.6599999999999,2,1,3,213,Promising Customer
